waktu,suhu_2,suhu_permukaan,kelembaban_tanah
2020-05-01 00:11:51,29.0,63.0,84.0
2020-05-01 00:11:54,29.0,63.0,84.0
2020-05-01 00:11:57,29.0,63.0,84.0
2020-05-01 00:12:00,29.0,62.0,84.0
2020-05-01 00:12:03,29.0,62.0,84.0
2020-05-01 00:12:06,29.0,64.0,84.0
2020-05-01 00:12:09,29.0,64.0,84.0
2020-05-01 00:12:12,29.0,63.0,84.0
2020-05-01 00:12:15,29.0,63.0,84.0
2020-05-01 00:12:18,29.0,63.0,84.0
2020-05-01 00:12:21,29.0,63.0,85.0
2020-05-01 00:12:24,29.0,63.0,85.0
2020-05-01 00:12:27,29.0,62.0,84.0
2020-05-01 00:12:30,29.0,62.0,84.0
2020-05-01 00:12:33,29.0,63.0,84.0
2020-05-01 00:12:36,29.0,63.0,84.0
2020-05-01 00:12:39,28.0,62.0,84.0
2020-05-01 00:12:42,28.0,62.0,84.0
2020-05-01 00:12:45,28.0,62.0,84.0
2020-05-01 00:12:48,28.0,62.0,84.0
2020-05-01 00:12:51,28.0,62.0,84.0
2020-05-01 00:12:54,28.0,62.0,84.0
2020-05-01 00:12:57,28.0,62.0,84.0
2020-05-01 00:13:00,29.0,62.0,84.0
2020-05-01 00:13:03,29.0,62.0,84.0
2020-05-01 00:13:06,29.0,62.0,84.0
2020-05-01 00:13:09,29.0,62.0,84.0
2020-05-01 00:13:12,28.0,62.0,84.0
2020-05-01 00:13:15,28.0,62.0,84.0
2020-05-01 00:13:18,29.0,62.0,84.0
2020-05-01 00:13:21,29.0,62.0,84.0
2020-05-01 00:13:24,29.0,64.0,84.0
2020-05-01 00:13:27,29.0,64.0,84.0
2020-05-01 00:13:30,29.0,64.0,84.0
2020-05-01 00:13:33,29.0,62.0,84.0
2020-05-01 00:13:36,29.0,62.0,84.0
2020-05-01 00:13:39,28.0,62.0,84.0
2020-05-01 00:13:42,28.0,62.0,84.0
2020-05-01 00:13:45,29.0,62.0,84.0
2020-05-01 00:13:48,29.0,62.0,84.0
2020-05-01 00:13:51,29.0,63.0,84.0
2020-05-01 00:13:54,29.0,63.0,84.0
2020-05-01 00:13:57,28.0,62.0,84.0
2020-05-01 00:14:00,28.0,62.0,84.0
2020-05-01 00:14:03,29.0,63.0,84.0
2020-05-01 00:14:06,29.0,63.0,84.0
2020-05-01 00:14:09,29.0,63.0,84.0
2020-05-01 00:14:12,29.0,62.0,84.0
2020-05-01 00:14:15,29.0,62.0,84.0
2020-05-01 00:14:18,29.0,62.0,84.0
2020-05-01 00:14:21,29.0,62.0,84.0
2020-05-01 00:14:24,28.0,62.0,84.0
2020-05-01 00:14:27,28.0,62.0,84.0
2020-05-01 00:14:30,29.0,62.0,84.0
2020-05-01 00:14:33,29.0,62.0,84.0
2020-05-01 00:14:36,28.0,62.0,85.0
2020-05-01 00:14:39,28.0,62.0,85.0
2020-05-01 00:14:42,28.0,62.0,85.0
2020-05-01 00:14:45,29.0,62.0,84.0
2020-05-01 00:14:48,29.0,63.0,84.0
2020-05-01 00:14:51,29.0,63.0,84.0
2020-05-01 00:14:54,29.0,63.0,84.0
2020-05-01 00:14:57,29.0,62.0,84.0
2020-05-01 00:15:00,29.0,62.0,84.0
2020-05-01 00:15:03,29.0,63.0,84.0
2020-05-01 00:15:06,29.0,63.0,84.0
2020-05-01 00:15:09,28.0,63.0,84.0
2020-05-01 00:15:12,28.0,63.0,84.0
2020-05-01 00:15:15,29.0,62.0,84.0
2020-05-01 00:15:18,29.0,62.0,84.0
2020-05-01 00:15:21,29.0,62.0,84.0
2020-05-01 00:15:24,29.0,62.0,84.0
2020-05-01 00:15:27,29.0,63.0,84.0
2020-05-01 00:15:30,29.0,63.0,84.0
2020-05-01 00:15:33,29.0,63.0,84.0
2020-05-01 00:15:36,29.0,62.0,84.0
2020-05-01 00:15:39,29.0,62.0,84.0
2020-05-01 00:15:42,29.0,62.0,84.0
2020-05-01 00:15:45,29.0,62.0,84.0
2020-05-01 00:15:48,28.0,63.0,84.0
2020-05-01 00:15:51,28.0,63.0,84.0
2020-05-01 00:15:54,29.0,63.0,84.0
2020-05-01 00:15:57,29.0,63.0,84.0
2020-05-01 00:16:00,29.0,63.0,84.0
2020-05-01 00:16:03,29.0,64.0,84.0
2020-05-01 00:16:06,28.0,63.0,84.0
2020-05-01 00:16:09,28.0,63.0,84.0
2020-05-01 00:16:12,28.0,63.0,84.0
2020-05-01 00:16:15,29.0,62.0,84.0
2020-05-01 00:16:18,29.0,62.0,84.0
2020-05-01 00:16:21,29.0,63.0,84.0
2020-05-01 00:16:24,29.0,63.0,84.0
2020-05-01 00:16:27,28.0,63.0,84.0
2020-05-01 00:16:30,28.0,63.0,84.0
2020-05-01 00:16:33,28.0,62.0,84.0
2020-05-01 00:16:36,28.0,62.0,84.0
2020-05-01 00:16:39,29.0,63.0,84.0
2020-05-01 00:16:42,29.0,63.0,84.0
2020-05-01 00:16:45,29.0,63.0,84.0
2020-05-01 00:16:48,29.0,62.0,84.0
2020-05-01 00:16:51,29.0,62.0,84.0
2020-05-01 00:16:54,29.0,63.0,84.0
2020-05-01 00:16:57,29.0,63.0,84.0
2020-05-01 00:17:00,29.0,63.0,84.0
2020-05-01 00:17:03,29.0,63.0,84.0
2020-05-01 00:17:06,29.0,62.0,84.0
2020-05-01 00:17:09,29.0,62.0,84.0
2020-05-01 00:17:12,29.0,62.0,84.0
2020-05-01 00:17:15,29.0,62.0,84.0
2020-05-01 00:17:18,29.0,61.0,84.0
2020-05-01 00:17:21,29.0,61.0,84.0
2020-05-01 00:17:24,29.0,61.0,84.0
2020-05-01 00:17:27,28.0,62.0,84.0
2020-05-01 00:17:30,28.0,62.0,84.0
2020-05-01 00:17:33,29.0,63.0,84.0
2020-05-01 00:17:36,29.0,63.0,84.0
2020-05-01 00:17:39,29.0,63.0,84.0
2020-05-01 00:17:42,29.0,63.0,84.0
2020-05-01 00:17:45,28.0,63.0,84.0
2020-05-01 00:17:48,28.0,63.0,84.0
2020-05-01 00:17:51,29.0,63.0,84.0
2020-05-01 00:17:54,29.0,63.0,84.0
2020-05-01 00:17:57,28.0,63.0,84.0
2020-05-01 00:18:00,28.0,63.0,84.0
2020-05-01 00:18:03,28.0,63.0,84.0
2020-05-01 00:18:06,29.0,62.0,84.0
2020-05-01 00:18:09,29.0,62.0,84.0
2020-05-01 00:18:12,29.0,63.0,84.0
2020-05-01 00:18:15,29.0,63.0,84.0
2020-05-01 00:18:18,28.0,62.0,84.0
2020-05-01 00:18:21,28.0,62.0,84.0
2020-05-01 00:18:24,29.0,62.0,84.0
2020-05-01 00:18:27,29.0,62.0,84.0
2020-05-01 00:18:30,28.0,62.0,84.0
2020-05-01 00:18:33,28.0,62.0,84.0
2020-05-01 00:18:36,28.0,63.0,84.0
2020-05-01 00:18:39,28.0,63.0,84.0
2020-05-01 00:18:42,28.0,63.0,84.0
2020-05-01 00:18:45,28.0,63.0,84.0
2020-05-01 00:18:48,28.0,63.0,84.0
2020-05-01 00:18:51,28.0,62.0,84.0
2020-05-01 00:18:54,28.0,62.0,84.0
2020-05-01 00:18:57,28.0,62.0,84.0
2020-05-01 00:19:00,28.0,62.0,84.0
2020-05-01 00:19:03,29.0,62.0,84.0
2020-05-01 00:19:06,29.0,62.0,84.0
2020-05-01 00:19:09,29.0,63.0,84.0
2020-05-01 00:19:12,29.0,63.0,84.0
2020-05-01 00:19:15,29.0,62.0,84.0
2020-05-01 00:19:18,29.0,62.0,84.0
2020-05-01 00:19:21,29.0,62.0,84.0
