waktu,Unnamed: 0,kelembaban,suhu,permukaan,hujan,curah
2020-03-09 00:48:33,9806,68.0,42.0,26.0,101.0,0.0
2020-03-09 00:48:40,9807,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:48:46,9808,68.0,44.0,26.0,101.0,0.0
2020-03-09 00:48:53,9809,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:48:59,9810,68.0,44.0,26.0,101.0,0.0
2020-03-09 00:49:06,9811,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:49:11,9812,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:49:18,9813,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:49:32,9814,68.0,42.0,26.0,101.0,0.0
2020-03-09 00:49:38,9815,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:49:47,9816,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:49:51,9817,68.0,43.0,27.0,101.0,0.0
2020-03-09 00:49:58,9818,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:50:23,9819,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:50:36,9820,67.0,43.0,26.0,101.0,0.0
2020-03-09 00:50:42,9821,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:50:52,9822,68.0,43.0,27.0,101.0,0.0
2020-03-09 00:50:55,9823,68.0,42.0,26.0,101.0,0.0
2020-03-09 00:51:02,9824,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:51:08,9825,68.0,40.0,26.0,101.0,0.0
2020-03-09 00:51:18,9826,68.0,38.0,26.0,101.0,0.0
2020-03-09 00:51:27,9827,68.0,38.0,26.0,101.0,0.0
2020-03-09 00:51:34,9828,68.0,38.0,27.0,101.0,0.0
2020-03-09 00:51:41,9829,68.0,36.0,26.0,101.0,0.0
2020-03-09 00:51:47,9830,68.0,28.0,26.0,101.0,0.0
2020-03-09 00:51:54,9831,68.0,44.0,26.0,101.0,0.0
2020-03-09 00:52:00,9832,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:52:07,9833,68.0,44.0,26.0,101.0,0.0
2020-03-09 00:52:26,9834,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:52:33,9835,68.0,44.0,26.0,101.0,0.0
2020-03-09 00:52:40,9836,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:52:46,9837,68.0,39.0,27.0,101.0,0.0
2020-03-09 00:52:52,9838,68.0,40.0,26.0,101.0,0.0
2020-03-09 00:52:59,9839,68.0,38.0,26.0,101.0,0.0
2020-03-09 00:53:05,9840,67.0,38.0,26.0,101.0,0.0
2020-03-09 00:53:12,9841,68.0,38.0,26.0,101.0,0.0
2020-03-09 00:53:19,9842,68.0,38.0,26.0,101.0,0.0
2020-03-09 00:53:25,9843,68.0,37.0,26.0,101.0,0.0
2020-03-09 00:53:38,9844,68.0,35.0,26.0,101.0,0.0
2020-03-09 00:53:44,9845,68.0,28.0,26.0,101.0,0.0
2020-03-09 00:53:58,9846,68.0,29.0,26.0,101.0,0.0
2020-03-09 00:54:03,9847,68.0,29.0,26.0,101.0,0.0
2020-03-09 00:54:05,9848,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:54:12,9849,68.0,38.0,26.0,101.0,0.0
2020-03-09 00:54:17,9850,68.0,28.0,26.0,101.0,0.0
2020-03-09 00:54:24,9851,68.0,28.0,26.0,101.0,0.0
2020-03-09 00:54:30,9852,68.0,41.0,26.0,101.0,0.0
2020-03-09 00:54:37,9853,68.0,38.0,26.0,101.0,0.0
2020-03-09 00:54:43,9854,68.0,30.0,26.0,101.0,0.0
2020-03-09 00:54:50,9855,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:54:57,9856,68.0,44.0,26.0,101.0,0.0
2020-03-09 00:55:03,9857,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:55:22,9858,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:55:28,9859,68.0,42.0,26.0,101.0,0.0
2020-03-09 00:55:35,9860,68.0,41.0,26.0,101.0,0.0
2020-03-09 00:55:41,9861,68.0,41.0,26.0,101.0,0.0
2020-03-09 00:55:48,9862,68.0,42.0,26.0,101.0,0.0
2020-03-09 00:55:54,9863,68.0,39.0,26.0,101.0,0.0
2020-03-09 00:56:01,9864,68.0,41.0,26.0,101.0,0.0
2020-03-09 00:56:14,9865,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:56:20,9866,68.0,38.0,26.0,101.0,0.0
2020-03-09 00:56:27,9867,68.0,41.0,26.0,101.0,0.0
2020-03-09 00:56:33,9868,68.0,41.0,26.0,101.0,0.0
2020-03-09 00:56:40,9869,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:56:52,9870,68.0,42.0,26.0,101.0,0.0
2020-03-09 00:56:59,9871,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:57:06,9872,68.0,44.0,26.0,101.0,0.0
2020-03-09 00:57:12,9873,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:57:19,9874,68.0,43.0,27.0,101.0,0.0
2020-03-09 00:57:25,9875,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:57:45,9876,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:57:51,9877,68.0,43.0,26.0,101.0,0.0
2020-03-09 00:58:11,9878,68.0,28.0,26.0,101.0,0.0
2020-03-09 00:58:17,9879,68.0,41.0,26.0,101.0,0.0
2020-03-09 00:58:24,9880,68.0,42.0,26.0,101.0,0.0
2020-03-09 00:58:30,9881,68.0,41.0,26.0,101.0,0.0
2020-03-09 00:58:43,9882,68.0,42.0,27.0,101.0,0.0
2020-03-09 00:58:49,9883,68.0,41.0,26.0,101.0,0.0
2020-03-09 00:58:56,9884,68.0,41.0,26.0,101.0,0.0
2020-03-09 00:59:15,9885,68.0,40.0,26.0,101.0,0.0
2020-03-09 00:59:22,9886,68.0,41.0,26.0,101.0,0.0
2020-03-09 00:59:34,9887,68.0,42.0,26.0,101.0,0.0
2020-03-09 00:59:41,9888,68.0,41.0,26.0,101.0,0.0
2020-03-09 00:59:47,9889,68.0,42.0,26.0,101.0,0.0
2020-03-09 00:59:54,9890,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:00:00,9891,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:00:26,9892,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:00:32,9893,68.0,41.0,27.0,101.0,0.0
2020-03-09 01:00:39,9894,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:01:11,9895,68.0,41.0,27.0,101.0,0.0
2020-03-09 01:01:18,9896,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:01:30,9897,68.0,42.0,27.0,101.0,0.0
